City, Country, Latitude, Longitude,concert duration
New York City, USA,40.7128,-74.006,52
Tokyo, Japan,35.6895,139.6917,57
London, UK,51.5074,-0.1278,62
Paris, France,48.8566,2.3522,61
Beijing, China,39.9042,116.4074,57
Moscow, Russia,55.7558,37.6176,59
Sao Paulo, Brazil,-23.5505,-46.6333,62
Delhi, India,28.7041,77.1025,65
Istanbul, Turkey,41.0082,28.9784,51
Cairo, Egypt,30.033,31.2336,63
Los Angeles, USA,34.0522,-118.2437,53
Buenos Aires, Argentina,-34.6037,-58.3816,61
Jakarta, Indonesia,-6.2088,106.8456,59
Mexico City, Mexico,19.4326,-99.1332,56
Seoul, South Korea,37.5665,126.978,54
Lagos, Nigeria,6.5244,3.3792,55
Mumbai, India,19.076,72.8777,53
Osaka, Japan,34.6937,135.5023,64
Karachi, Pakistan,24.8607,67.0011,63
Manila, Philippines,14.5995,120.9842,50
Canberra, Australia,-35.282,149.1286,53
Washington D.C., USA,38.9072,-77.0369,55
Rome, Italy,41.9028,12.4964,57
Berlin, Germany,52.52,13.405,56
Ottawa, Canada,45.4215,-75.691,57
Brasilia, Brazil,-15.8267,-47.9218,54
Madrid, Spain,40.4168,-3.7038,55
Abu Dhabi, UAE,24.4539,54.3773,54
Pretoria, South Africa,-25.7463,28.1876,63
Wellington, New Zealand,-41.2865,174.7762,60
Paris, France,48.8566,2.3522,58
Beijing, China,39.9042,116.4074,53
Moscow, Russia,55.7558,37.6176,58
Tehran, Iran,35.6892,51.389,62
Nairobi, Kenya,-1.2921,36.8219,53
Athens, Greece,37.9838,23.7275,63
Stockholm, Sweden,59.3293,18.0686,56
Lisbon, Portugal,38.7223,-9.1393,62
Dublin, Ireland,53.3498,-6.2603,51
Hanoi, Vietnam,21.0278,105.8342,50
Bangkok, Thailand,13.7563,100.5018,65
Oslo, Norway,59.9139,10.7522,63
Cairo, Egypt,30.033,31.2336,57
Buenos Aires, Argentina,-34.6037,-58.3816,53
Addis Ababa, Ethiopia,9.0084,38.7575,51
Islamabad, Pakistan,33.6844,73.0479,52
Seoul, South Korea,37.5665,126.978,55
Riyadh, Saudi Arabia,24.7136,46.6753,58
Helsinki, Finland,60.1695,24.9354,60
